,averaged daily return,averaged daily return after transaction cost
2018-04-11,-0.0013557835202949867,-0.0013557835202949867
2018-04-12,-0.017730547681557633,-0.017730547681557633
2018-04-13,-0.0024056130252537076,-0.0024056130252537076
2018-04-16,-0.015816134810928858,-0.015816134810928858
2018-04-17,-0.026219035382430336,-0.026606132156623885
2018-04-18,0.002571332405748254,0.002571332405748254
2018-04-19,0.02094659428508983,0.02094659428508983
2018-04-20,-0.02434336937494877,-0.02434336937494877
2018-04-23,0.003768907650115028,0.003768907650115028
2018-04-24,0.01896641469103765,0.018450285658779587
2018-04-25,-0.007865398136396485,-0.007865398136396485
2018-04-26,-0.03148628916971132,-0.03148628916971132
2018-04-27,0.005396536156487468,0.005396536156487468
2018-05-02,-0.0025142171503835173,-0.0025142171503835173
2018-05-03,0.00606336074509652,0.005482715583806198
2018-05-04,-0.002034588866371655,-0.002034588866371655
2018-05-07,0.023550304266075118,0.023550304266075118
2018-05-08,0.010182768951730117,0.010182768951730117
2018-05-09,-0.006474840711054465,-0.006474840711054465
2018-05-10,-0.0004999729781226031,-0.0008870697523161515
2018-05-11,-0.0017413708210184662,-0.0017413708210184662
2018-05-14,0.005330553253399095,0.005330553253399095
2018-05-15,0.008253163930887139,0.008253163930887139
2018-05-16,-0.0070953892415054325,-0.0070953892415054325
2018-05-17,-0.009220790432353314,-0.009607887206546862
2018-05-18,0.009184984441560375,0.009184984441560375
2018-05-21,0.009737556710923856,0.009737556710923856
2018-05-22,-0.0051155087404066175,-0.0051155087404066175
2018-05-23,-0.0165042003829211,-0.0165042003829211
2018-05-24,-0.0017191451145146962,-0.0021062418887082446
2018-05-25,-0.012235671636356419,-0.012235671636356419
2018-05-28,-0.0024238100067884363,-0.0024238100067884363
2018-05-29,-0.011237120528999108,-0.011237120528999108
2018-05-30,-0.03229210339093345,-0.03229210339093345
2018-05-31,0.021914498612393238,0.021656434096264207
2018-06-01,-0.014589996471132946,-0.014589996471132946
2018-06-04,0.004758859345566695,0.004758859345566695
2018-06-05,0.018728493834021424,0.018728493834021424
2018-06-06,0.001105203435862058,0.001105203435862058
2018-06-07,-0.0014735073532837698,-0.0019896363855418345
2018-06-08,-0.01763188596171136,-0.01763188596171136
2018-06-11,0.002434021160008398,0.002434021160008398
2018-06-12,0.0123964476210819,0.0123964476210819
