Date,Price,Open,High,Low,Vol.,Change %
26-Jan-18,"4,381.30","4,352.22","4,403.34","4,351.49",177.23K,0.37%
25-Jan-18,"4,365.08","4,381.98","4,392.20","4,336.24",195.38K,-0.57%
24-Jan-18,"4,389.89","4,389.45","4,397.82","4,349.09",219.82K,0.17%
23-Jan-18,"4,382.61","4,346.89","4,383.57","4,346.79",201.87K,1.06%
22-Jan-18,"4,336.60","4,276.48","4,338.48","4,275.90",174.64K,1.19%
19-Jan-18,"4,285.40","4,281.94","4,316.57","4,269.62",209.49K,0.33%
18-Jan-18,"4,271.42","4,259.38","4,292.64","4,246.68",172.03K,0.55%
17-Jan-18,"4,248.12","4,261.78","4,283.34","4,230.54",214.31K,-0.24%
16-Jan-18,"4,258.47","4,215.62","4,260.21","4,213.13",161.50K,0.79%
15-Jan-18,"4,225.24","4,229.84","4,262.93","4,216.36",170.91K,0.01%
12-Jan-18,"4,225.00","4,205.14","4,227.39","4,199.03",111.36K,0.46%
11-Jan-18,"4,205.59","4,197.11","4,211.80","4,181.96",121.58K,-0.05%
10-Jan-18,"4,207.81","4,187.20","4,211.05","4,175.14",151.12K,0.44%
9-Jan-18,"4,189.30","4,157.54","4,191.28","4,153.50",139.03K,0.70%
8-Jan-18,"4,160.16","4,140.85","4,166.32","4,127.31",173.88K,0.52%
5-Jan-18,"4,138.75","4,133.34","4,151.28","4,123.28",149.01K,0.24%
4-Jan-18,"4,128.81","4,114.12","4,137.64","4,105.89",134.54K,0.42%
3-Jan-18,"4,111.39","4,091.46","4,140.05","4,088.73",151.85K,0.59%
2-Jan-18,"4,087.40","4,045.21","4,087.78","4,045.21",146.94K,1.40%
29-Dec-17,"4,030.85","4,022.88","4,043.14","4,012.87",90.49K,0.30%
28-Dec-17,"4,018.90","3,993.00","4,036.70","3,980.24",118.54K,0.69%
27-Dec-17,"3,991.21","4,045.28","4,047.74","3,986.74",105.15K,-1.54%
26-Dec-17,"4,053.62","4,040.62","4,056.86","4,015.30",91.12K,0.30%
25-Dec-17,"4,041.54","4,057.42","4,086.93","4,026.45",91.93K,-0.32%
22-Dec-17,"4,054.60","4,064.91","4,076.80","4,048.49",73.47K,-0.33%
21-Dec-17,"4,067.85","4,023.08","4,080.78","4,014.65",96.84K,0.93%
20-Dec-17,"4,030.49","4,036.02","4,044.85","4,015.63",90.61K,-0.12%
19-Dec-17,"4,035.33","3,985.82","4,035.63","3,985.82",77.53K,1.26%
18-Dec-17,"3,985.29","3,983.30","4,008.07","3,967.93",77.85K,0.11%
15-Dec-17,"3,980.86","4,018.73","4,020.27","3,974.93",89.04K,-1.12%
14-Dec-17,"4,026.15","4,050.90","4,057.62","4,013.85",80.77K,-0.59%
13-Dec-17,"4,050.09","4,013.83","4,052.69","4,004.74",77.55K,0.85%
12-Dec-17,"4,016.02","4,068.51","4,070.15","4,015.45",84.34K,-1.31%
11-Dec-17,"4,069.50","4,006.88","4,069.50","4,005.27",97.15K,1.65%
8-Dec-17,"4,003.38","3,962.83","4,014.14","3,955.44",89.28K,0.81%
7-Dec-17,"3,971.06","4,003.58","4,017.95","3,955.99",90.25K,-1.11%
6-Dec-17,"4,015.82","4,027.12","4,031.75","3,964.81",109.29K,-0.60%
5-Dec-17,"4,040.17","4,007.94","4,045.93","4,006.54",154.09K,0.53%
4-Dec-17,"4,018.86","3,989.05","4,032.99","3,982.32",102.65K,0.52%
1-Dec-17,"3,998.14","4,003.56","4,027.11","3,984.38",97.39K,-0.20%
30-Nov-17,"4,006.10","4,034.01","4,052.80","3,988.00",107.98K,-1.18%
29-Nov-17,"4,053.75","4,061.35","4,069.24","4,004.69",124.55K,-0.05%
28-Nov-17,"4,055.82","4,034.21","4,056.48","4,010.30",102.06K,0.14%
27-Nov-17,"4,049.95","4,088.93","4,088.93","4,037.15",143.46K,-1.32%
24-Nov-17,"4,104.20","4,089.47","4,116.59","4,057.49",130.86K,0.04%
23-Nov-17,"4,102.40","4,213.38","4,214.19","4,086.90",178.15K,-2.96%
22-Nov-17,"4,227.57","4,228.37","4,260.64","4,191.15",186.48K,0.23%
21-Nov-17,"4,217.70","4,131.85","4,220.26","4,129.98",180.35K,1.78%
20-Nov-17,"4,143.83","4,093.73","4,144.51","4,060.96",137.45K,0.56%
17-Nov-17,"4,120.85","4,094.08","4,122.38","4,081.37",191.78K,0.39%
16-Nov-17,"4,105.01","4,063.49","4,107.62","4,062.27",121.38K,0.77%
15-Nov-17,"4,073.67","4,084.21","4,102.81","4,055.72",120.64K,-0.63%
14-Nov-17,"4,099.35","4,129.27","4,133.55","4,086.89",143.24K,-0.70%
13-Nov-17,"4,128.07","4,115.55","4,137.65","4,115.55",151.45K,0.39%
10-Nov-17,"4,111.91","4,070.28","4,116.71","4,067.66",141.82K,0.88%
9-Nov-17,"4,075.90","4,043.07","4,076.61","4,038.40",121.06K,0.69%
8-Nov-17,"4,048.01","4,051.49","4,089.15","4,040.58",150.83K,-0.15%
7-Nov-17,"4,054.25","4,022.40","4,064.22","4,021.36",152.12K,0.83%
6-Nov-17,"4,020.89","3,989.18","4,021.64","3,975.41",122.08K,0.71%
3-Nov-17,"3,992.70","3,992.35","3,999.34","3,963.03",129.40K,-0.11%
2-Nov-17,"3,997.13","3,994.09","3,999.23","3,971.38",126.10K,0.01%
1-Nov-17,"3,996.62","4,007.91","4,032.46","3,991.32",130.42K,-0.25%
31-Oct-17,"4,006.72","3,995.39","4,009.28","3,983.26",109.18K,-0.07%
30-Oct-17,"4,009.72","4,022.16","4,033.34","3,960.27",157.39K,-0.30%
27-Oct-17,"4,021.97","3,992.55","4,024.46","3,991.35",126.67K,0.71%
26-Oct-17,"3,993.58","3,980.05","4,013.60","3,973.55",129.90K,0.42%
25-Oct-17,"3,976.95","3,958.17","3,978.09","3,954.00",88.21K,0.44%
24-Oct-17,"3,959.40","3,926.23","3,959.50","3,922.03",93.06K,0.73%
23-Oct-17,"3,930.80","3,930.89","3,936.27","3,920.66",81.49K,0.10%
20-Oct-17,"3,926.85","3,918.53","3,928.96","3,910.20",72.98K,-0.11%
19-Oct-17,"3,931.25","3,940.58","3,944.03","3,923.65",106.53K,-0.33%
18-Oct-17,"3,944.16","3,914.82","3,944.41","3,914.82",100.97K,0.79%
17-Oct-17,"3,913.07","3,910.79","3,924.61","3,900.48",82.24K,-0.01%
16-Oct-17,"3,913.45","3,926.28","3,947.42","3,913.32",121.36K,-0.19%
13-Oct-17,"3,921.00","3,912.97","3,927.17","3,908.89",90.14K,0.21%
12-Oct-17,"3,912.95","3,902.02","3,917.44","3,897.55",94.34K,0.26%
11-Oct-17,"3,902.69","3,886.82","3,913.07","3,885.50",104.42K,0.33%
10-Oct-17,"3,889.86","3,883.00","3,900.74","3,855.47",112.53K,0.20%
9-Oct-17,"3,882.21","3,910.11","3,918.84","3,876.03",135.54K,1.19%
29-Sep-17,"3,836.50","3,825.20","3,852.22","3,825.20",93.31K,0.37%
28-Sep-17,"3,822.54","3,821.59","3,827.33","3,813.75",93.54K,0.04%
27-Sep-17,"3,821.20","3,818.96","3,832.57","3,818.81",85.66K,0.01%
26-Sep-17,"3,820.78","3,810.33","3,821.69","3,808.38",81.87K,0.08%
25-Sep-17,"3,817.79","3,829.22","3,835.39","3,811.12",103.95K,-0.52%
22-Sep-17,"3,837.73","3,826.46","3,842.25","3,816.82",100.62K,0.00%
21-Sep-17,"3,837.82","3,843.26","3,860.80","3,837.38",111.10K,-0.12%
20-Sep-17,"3,842.44","3,830.15","3,850.94","3,827.89",101.13K,0.27%
